%SpO2	BPM	Pulse Amplitude	Current time
100	 86	  1	22:24:43
100	 87	  2	22:24:43
100	 87	  2	22:24:43
100	 83	  2	22:24:50
100	 82	  1	22:24:52
100	 82	  1	22:24:54
100	 82	  2	22:24:56
100	 82	  2	22:24:58
100	 82	  2	22:25:00
100	 83	  2	22:25:02
100	 83	  2	22:25:04
100	 83	  1	22:25:06
100	 84	  1	22:25:08
100	 84	  1	22:25:10
100	 83	  2	22:25:12
100	 83	  1	22:25:14
100	 84	  1	22:25:16
100	 85	  1	22:25:18
100	 85	  2	22:25:20
100	 85	  2	22:25:22
100	 85	  3	22:25:24
100	 85	  2	22:25:26
100	 86	  2	22:25:28
 99	 87	  7	22:25:34
 98	 85	  2	22:25:36
 98	 84	  1	22:25:38
 98	 85	  1	22:25:40
 98	 85	  1	22:25:42
 97	 84	  2	22:25:44
 97	 85	  1	22:25:46
 99	 85	  2	22:25:48
100	 86	  2	22:25:50
100	 86	  2	22:25:52
100	 86	  2	22:25:54
100	 87	  2	22:25:56
100	 88	  2	22:25:58
 99	 89	  2	22:26:00
 99	 89	  1	22:26:02
100	 91	  2	22:26:04
100	 93	  2	22:26:06
100	 93	  1	22:26:08
100	 92	  1	22:26:10
100	 92	  1	22:26:12
100	 89	  2	22:26:16
100	 86	  2	22:26:18
 99	 85	  2	22:26:20
100	 84	  2	22:26:22
100	 84	  1	22:26:24
100	 83	  1	22:26:26
100	 83	  2	22:26:28
100	 84	  5	22:26:30
100	 84	  7	22:26:32
100	 89	  2	22:26:34
100	 88	  2	22:26:36
100	 90	  4	22:26:38
100	 95	  1	22:26:40
100	 98	  1	22:26:42
100	101	  1	22:26:44
100	 99	  1	22:26:46
100	 94	  2	22:26:48
100	 90	  2	22:26:50
100	 87	  2	22:26:52
100	 85	  3	22:26:54
100	 82	  3	22:26:56
100	 81	  2	22:27:02
100	 82	  2	22:27:04
100	 81	  2	22:27:06
100	 81	  2	22:27:08
100	 84	  2	22:27:10
100	 86	  1	22:27:12
100	 86	  2	22:27:14
100	 85	  2	22:27:16
100	 87	  2	22:27:18
100	 89	  2	22:27:20
100	 89	  2	22:27:22
100	 89	  2	22:27:24
100	 87	  2	22:27:26
100	 89	  1	22:27:28
100	 92	  1	22:27:30
100	 91	  1	22:27:32
100	 90	  1	22:27:34
100	 87	  1	22:27:36
100	 87	  1	22:27:38
100	 88	  1	22:27:40
100	 89	  1	22:27:46
100	 89	  1	22:27:48
100	 89	  1	22:27:50
100	 88	  1	22:27:52
100	 88	  1	22:27:54
100	 88	  1	22:27:56
100	 89	  1	22:27:58
100	 90	  1	22:28:00
100	 93	  1	22:28:02
100	 96	  1	22:28:04
100	 97	  1	22:28:06
100	 97	  2	22:28:08
100	 98	  3	22:28:10
 98	 96	  2	22:28:12
 98	 94	  1	22:28:14
 98	 96	  1	22:28:16
100	 97	  1	22:28:18
100	 97	  1	22:28:20
100	 96	  2	22:28:22
100	 95	  2	22:28:24
100	 89	  2	22:28:30
100	 92	  2	22:28:32
100	 92	  1	22:28:34
%SpO2	BPM	Pulse Amplitude	Current time
100	 81	  3	22:41:15
%SpO2	BPM	Pulse Amplitude	Current time
			22:41:21
100	 81	  3	22:41:23
100	 80	  3	22:41:25
100	 80	  3	22:41:27
100	 79	  3	22:41:29
100	 79	  3	22:41:31
100	 77	  3	22:41:41
100	 77	  3	22:41:43
100	 79	  3	22:41:47
00 	79 	 3 	22:41:49
100	 78	  3	22:41:53
   	   		22:41:55
100	 82	  4	22:41:59
100	 81	  3	22:42:01
100	 79	  3	22:42:03
100	 80	  3	22:42:05
   	   	   	22:42:07
10 	0  	3  	22:42:09
100	   	 	22:42:11
100	 78	  4	22:42:15
   	   	 	22:42:17
100	 78	  4	22:42:19
100	 77	  3	22:42:23
100	 79	  4	22:42:27
100	 79	  4	22:42:29
100	   	   	22:42:31
%SpO2	BPM	Pulse Amplitude	Current time
100	 77	  3	22:42:33
00 	78 	 3 	22:42:35
100	 78	  3	22:42:37
   	   		22:42:43
100	 80	  3	22:42:47
100	 78	  3	22:42:49
100	 77	  3	22:42:51
100	 77	  3	22:42:53
100	 78	  3	22:42:55
100	 77	  3	22:42:57
00 	77 	 3 	22:42:59
100	 79	   	22:43:03
100	 84	  3	22:43:07
100	 84	  3	22:43:09
100	 84	  2	22:43:11
100	 88	  3	22:43:15
100	 93	  4	22:43:17
100	 97	  6	22:43:19
100	100	  3	22:43:21
   	S  	   	22:43:23
100	101	  3	22:43:25
100	 94	  5	22:43:29
00 	88 	 4 	22:43:31
100	 85	  4	22:43:33
100	 82	  4	22:43:35
100	 81	  4	22:43:37
00 	79 	 3 	22:43:39
100	 73	  3	22:43:41
00 	77 	 5 	22:43:43
100	 80	  4	22:43:45
   			22:43:47
			22:43:57
   	   	   	22:43:59
100	 76	  3	22:44:05
100	 77	  3	22:44:07
100	 79	  4	22:44:09
100	 79	  4	22:44:11
   	   	   	22:44:15
00 	78 	 3 	22:44:17
100	 78	  3	22:44:19
100	 76	  3	22:44:23
100	 76	  3	22:44:25
   			22:44:27
100	 77	   	22:44:29
100	 77	  3	22:44:31
%SpO2	BPM	Pulse Amplitude	Current time
100	 80	  3	22:44:39
100	 79	  3	22:44:41
100	 79	  3	22:44:43
100	 81	  3	22:44:45
100	 82	  3	22:44:47
100	 80	  3	22:44:49
100	 79	  3	22:44:51
100	 79	  3	22:44:53
100	 79	  3	22:44:55
100	 79	  3	22:44:57
100	 81	  3	22:44:59
100	 83	  3	22:45:01
100	 86	  2	22:45:03
100	 89	  3	22:45:05
100	 90	  3	22:45:07
100	 89	  3	22:45:09
100	 85	  3	22:45:11
100	 85	  3	22:45:13
100	 84	  3	22:45:15
100	 79	  3	22:45:19
100	 79	  3	22:45:21
100	 77	  3	22:45:23
100	 77	  2	22:45:25
100	 76	  3	22:45:27
100	 75	  3	22:45:29
100	 75	  3	22:45:31
100	 75	  3	22:45:33
100	 76	  4	22:45:35
100	 76	  3	22:45:37
100	 76	  3	22:45:39
100	 76	  3	22:45:41
100	 77	  3	22:45:43
100	 79	  3	22:45:45
100	 78	  3	22:45:47
100	 77	  3	22:45:49
100	 76	  3	22:45:51
100	 77	  3	22:45:53
100	 78	  3	22:45:55
100	 78	  3	22:45:57
100	 78	  3	22:45:59
100	 78	  3	22:46:03
100	 78	  3	22:46:05
100	 78	  2	22:46:07
100	 77	  2	22:46:09
100	 75	  3	22:46:11
100	 76	  3	22:46:13
100	 76	  3	22:46:15
100	 76	  3	22:46:17
100	 76	  3	22:46:19
100	 75	  3	22:46:21
100	 75	  3	22:46:23
100	 76	  3	22:46:25
100	 77	  2	22:46:27
100	 77	  2	22:46:29
100	 76	  3	22:46:31
100	 75	  2	22:46:33
100	 75	  2	22:46:35
100	 77	  2	22:46:37
100	 78	  2	22:46:39
100	 77	  3	22:46:41
100	 77	  3	22:46:43
100	 78	  2	22:46:47
100	 77	  2	22:46:49
100	 77	  3	22:46:51
100	 77	  3	22:46:53
100	 77	  3	22:46:55
100	 76	  3	22:46:57
100	 76	  3	22:46:59
100	 76	  3	22:47:01
100	 76	  3	22:47:03
100	 76	  3	22:47:05
100	 76	  3	22:47:07
100	 75	  3	22:47:09
100	 75	  3	22:47:11
100	 76	  3	22:47:13
100	 77	  3	22:47:15
100	 76	  3	22:47:17
100	 75	  3	22:47:19
100	 76	  3	22:47:21
100	 78	  3	22:47:23
100	 77	  3	22:47:25
100	 76	  3	22:47:27
100	 80	  2	22:47:33
100	 80	  2	22:47:35
100	 79	  3	22:47:37
100	 79	  3	22:47:39
100	 79	  2	22:47:41
100	 79	  2	22:47:43
100	 77	  2	22:47:45
100	 75	  2	22:47:47
100	 75	  2	22:47:49
100	 77	  2	22:47:51
100	 78	  2	22:47:53
100	 78	  2	22:47:55
100	 77	  3	22:47:57
100	 77	  2	22:47:59
100	 78	  3	22:48:01
100	 78	  2	22:48:03
100	 77	  2	22:48:05
100	 76	  2	22:48:07
100	 76	  2	22:48:09
100	 76	  2	22:48:11
100	 76	  2	22:48:17
100	 76	  2	22:48:19
100	 75	  2	22:48:21
100	 74	  2	22:48:23
100	 74	  2	22:48:25
100	 75	  2	22:48:27
100	 75	  2	22:48:29
100	 74	  3	22:48:31
100	 74	  3	22:48:33
100	 75	  2	22:48:35
100	 76	  2	22:48:37
100	 77	  2	22:48:39
100	 79	  2	22:48:41
100	 82	  2	22:48:43
100	 84	  3	22:48:45
100	 83	  3	22:48:47
100	 82	  2	22:48:49
100	 82	  2	22:48:51
100	 82	  2	22:48:53
100	 80	  2	22:48:55
100	 78	  2	22:48:59
100	 77	  2	22:49:01
100	 78	  2	22:49:03
100	 77	  2	22:49:05
100	 76	  2	22:49:07
100	 76	  2	22:49:09
100	 76	  2	22:49:11
100	 76	  2	22:49:13
100	 77	  2	22:49:15
100	 77	  2	22:49:17
100	 77	  2	22:49:19
100	 77	  2	22:49:21
100	 77	  2	22:49:23
100	 77	  2	22:49:25
100	 76	  2	22:49:27
100	 77	  2	22:49:29
100	 76	  2	22:49:31
100	 77	  2	22:49:33
100	 78	  2	22:49:35
100	 79	  2	22:49:37
100	 78	  2	22:49:39
100	 76	  2	22:49:43
100	 78	  2	22:49:45
100	 78	  2	22:49:47
100	 78	  3	22:49:49
100	 77	  3	22:49:51
100	 77	  2	22:49:53
100	 76	  2	22:49:55
100	 75	  3	22:49:57
100	 75	  3	22:49:59
100	 74	  3	22:50:01
100	 74	  2	22:50:03
100	 74	  2	22:50:05
100	 73	  3	22:50:07
100	 73	  3	22:50:09
100	 72	  3	22:50:11
100	 72	  3	22:50:13
100	 73	  3	22:50:15
100	 72	  3	22:50:17
100	 72	  3	22:50:19
100	 73	  3	22:50:21
100	 77	  3	22:50:23
100	 77	  2	22:50:29
100	 77	  2	22:50:31
100	 78	  2	22:50:33
100	 79	  2	22:50:35
100	 78	  3	22:50:37
100	 76	  4	22:50:39
100	 76	  4	22:50:41
100	 75	  4	22:50:43
100	 75	  4	22:50:45
100	 74	  4	22:50:47
100	 76	  4	22:50:49
100	 80	  4	22:50:51
100	 83	  4	22:50:53
100	 84	  3	22:50:55
100	 83	  3	22:50:57
100	 84	  3	22:50:59
100	 87	  3	22:51:01
100	 88	  3	22:51:03
100	 89	  3	22:51:05
100	 90	  4	22:51:07
100	 86	  4	22:51:13
100	 83	  4	22:51:15
100	 82	  4	22:51:17
100	 85	  4	22:51:19
100	 85	  5	22:51:21
100	 84	  5	22:51:23
100	 84	  4	22:51:25
100	 86	  4	22:51:27
100	 88	  3	22:51:29
100	 90	  2	22:51:31
100	 92	  4	22:51:33
100	 94	  3	22:51:35
100	 94	  3	22:51:37
100	 95	  3	22:51:39
100	 93	  7	22:51:41
100	 92	  9	22:51:43
100	 90	  6	22:51:45
100	 87	  3	22:51:47
100	 85	  3	22:51:49
100	 84	  3	22:51:51
100	 87	  4	22:51:57
100	 85	  4	22:51:59
100	 85	  3	22:52:01
100	 83	  3	22:52:03
100	 80	  3	22:52:05
100	 78	  3	22:52:07
100	 77	  3	22:52:09
100	 76	  4	22:52:11
100	 75	  4	22:52:13
100	 76	  4	22:52:15
100	 76	  4	22:52:17
100	 76	  4	22:52:19
100	 76	  5	22:52:21
100	 77	  4	22:52:23
100	 77	  3	22:52:25
100	 78	  3	22:52:27
100	 77	  3	22:52:29
100	 77	  3	22:52:31
100	 79	  3	22:52:33
100	 78	  3	22:52:35
100	 77	  3	22:52:41
100	 78	  4	22:52:43
100	 78	  4	22:52:45
100	 77	  4	22:52:47
100	 76	  4	22:52:49
100	 77	  3	22:52:51
100	 78	  3	22:52:53
100	 78	  3	22:52:55
100	 78	  4	22:52:57
100	 77	  3	22:52:59
100	 78	  3	22:53:01
100	 80	  3	22:53:03
100	 83	  3	22:53:05
100	 87	  4	22:53:07
100	 88	  3	22:53:09
100	 87	  3	22:53:11
100	 87	  3	22:53:13
100	 87	  3	22:53:15
100	 87	  4	22:53:17
100	 87	  5	22:53:19
100	 84	  3	22:53:25
100	 83	  3	22:53:27
100	 80	  3	22:53:29
100	 79	  2	22:53:31
100	 78	  3	22:53:33
100	 77	  3	22:53:35
100	 76	  3	22:53:37
100	 76	  3	22:53:39
100	 77	  2	22:53:41
100	 77	  2	22:53:43
100	 77	  2	22:53:45
100	 78	  2	22:53:47
100	 79	  2	22:53:49
100	 80	  2	22:53:51
100	 78	  2	22:53:53
100	 77	  2	22:53:55
100	 77	  2	22:53:57
100	 77	  3	22:53:59
100	 77	  3	22:54:01
100	 76	  3	22:54:03
100	 77	  3	22:54:07
100	 78	  3	22:54:09
100	 80	  2	22:54:11
100	 80	  2	22:54:13
100	 80	  2	22:54:15
100	 81	  2	22:54:17
100	 83	  2	22:54:19
100	 84	  2	22:54:21
100	 86	  2	22:54:23
100	 85	  3	22:54:25
100	 84	  3	22:54:27
100	 84	  3	22:54:29
100	 82	  3	22:54:31
100	 81	  2	22:54:33
100	 80	  2	22:54:35
100	 79	  2	22:54:37
100	 78	  2	22:54:39
100	 77	  2	22:54:41
100	 77	  2	22:54:43
100	 78	  2	22:54:45
100	 78	  3	22:54:47
100	 80	  3	22:54:53
100	 79	  3	22:54:55
100	 79	  3	22:54:57
100	 77	  3	22:54:59
100	 76	  3	22:55:01
100	 75	  2	22:55:03
100	 74	  2	22:55:05
100	 75	  2	22:55:07
100	 76	  3	22:55:09
100	 73	  3	22:55:11
100	 71	  3	22:55:13
100	 72	  3	22:55:15
100	 73	  2	22:55:17
100	 74	  2	22:55:19
100	 73	  3	22:55:21
100	 72	  3	22:55:23
100	 73	  3	22:55:25
100	 75	  2	22:55:27
100	 76	  2	22:55:29
100	 77	  2	22:55:31
100	 82	  3	22:55:37
100	 82	  3	22:55:39
100	 81	  2	22:55:41
100	 80	  2	22:55:43
100	 78	  2	22:55:45
100	 77	  3	22:55:47
100	 76	  3	22:55:49
100	 76	  3	22:55:51
100	 76	  3	22:55:53
100	 74	  3	22:55:55
100	 74	  2	22:55:57
100	 75	  2	22:55:59
100	 76	  2	22:56:01
100	 76	  2	22:56:03
100	 76	  2	22:56:05
100	 77	  2	22:56:07
100	 78	  2	22:56:09
100	 78	  2	22:56:11
100	 77	  2	22:56:13
100	 78	  2	22:56:15
100	 79	  3	22:56:19
100	 79	  2	22:56:21
100	 80	  2	22:56:23
100	 80	  2	22:56:25
100	 81	  2	22:56:27
100	 80	  2	22:56:29
100	 79	  3	22:56:31
100	 80	  3	22:56:34
100	 82	  6	22:56:35
100	 84	 11	22:56:38
100	 84	  3	22:56:39
100	 85	  4	22:56:42
100	 88	  2	22:56:43
100	 90	  2	22:56:46
100	 92	  2	22:56:47
100	 93	  2	22:56:50
100	 92	  3	22:56:51
100	 92	  3	22:56:54
100	 90	  4	22:56:55
100	 87	  4	22:56:58
100	 86	  4	22:56:59
100	 83	  4	22:57:03
100	 79	  4	22:57:06
100	 78	  3	22:57:07
100	 78	  3	22:57:10
100	 78	  4	22:57:11
100	 75	  4	22:57:14
100	 74	  3	22:57:15
100	 75	  3	22:57:18
100	 76	  3	22:57:19
100	 76	  4	22:57:22
100	 76	  4	22:57:23
100	 77	  3	22:57:26
100	 78	  3	22:57:27
100	 78	  4	22:57:30
100	 78	  4	22:57:31
100	 77	  4	22:57:34
100	 77	  4	22:57:35
100	 78	  4	22:57:38
100	 79	  6	22:57:39
100	 80	  7	22:57:42
100	 81	  5	22:57:43
100	 83	  3	22:57:47
100	 85	  3	22:57:50
100	 86	  3	22:57:51
100	 82	  3	22:57:54
100	 79	  3	22:57:55
100	 76	  3	22:57:58
100	 74	  3	22:57:59
100	 72	  3	22:58:02
